Date,Open,High,Low,Close,Adj_Close,Volume,Compound,Negative,Neutral,Positive
1/25/2010,7.2325,7.310714,7.149643,7.2525,6.155898,1065699600,0.9888,0.008,0.829,0.162
1/26/2010,7.355357,7.6325,7.235,7.355,6.2429,1867110000,0.8107,0.073,0.817,0.11
1/27/2010,7.3875,7.520714,7.126071,7.424286,6.301707,1722568400,0.8668,0,0.938,0.062
1/28/2010,7.318929,7.339286,7.096429,7.1175,6.04131,1173502400,0.9365,0.054,0.843,0.103
1/29/2010,7.181429,7.221429,6.794643,6.859286,5.822137,1245952400,0.765,0.04,0.85,0.11
2/1/2010,6.870357,7,6.832143,6.954643,5.903076,749876400,0,0,0,0
2/2/2010,6.996786,7.011429,6.906429,6.995,5.937332,698342400,0.8523,0.03,0.905,0.065
2/3/2010,6.970357,7.15,6.943571,7.115357,6.03949,615328000,0.9677,0.057,0.811,0.132
2/4/2010,7.026071,7.084643,6.841786,6.858929,5.821834,757652000,0.2645,0.121,0.746,0.133
2/5/2010,6.879643,7,6.816071,6.980714,5.925204,850306800,0.1531,0.047,0.897,0.056
2/8/2010,6.988929,7.067143,6.928571,6.932857,5.884584,478270800,0.9602,0.036,0.863,0.101
2/9/2010,7.015,7.053571,6.955357,7.006786,5.947335,632886800,-0.5346,0.051,0.921,0.028
2/10/2010,6.996071,7.021429,6.937857,6.968571,5.914898,370361600,0.7133,0.015,0.937,0.048
2/11/2010,6.96,7.133929,6.930714,7.095357,6.022514,550345600,0.9678,0.045,0.845,0.11
2/12/2010,7.075357,7.201429,6.982143,7.156429,6.074352,655468800,0.6219,0.066,0.845,0.089
2/16/2010,7.212143,7.274643,7.197143,7.264286,6.165902,543737600,0.6588,0.024,0.934,0.043
2/17/2010,7.2925,7.296786,7.173571,7.233929,6.140134,436396800,0.8805,0.035,0.893,0.072
2/18/2010,7.201071,7.281786,7.175714,7.2475,6.151652,422825200,0.8542,0.032,0.903,0.065
2/19/2010,7.209286,7.257143,7.1825,7.2025,6.113456,415469600,-0.7845,0.106,0.817,0.077
2/22/2010,7.226429,7.232143,7.113929,7.157857,6.075564,390563600,-0.6249,0.068,0.887,0.045
2/23/2010,7.142857,7.190357,6.989643,7.037857,5.973709,575094800,0.9367,0.011,0.904,0.084
2/24/2010,7.079643,7.194286,7.065714,7.166429,6.082839,460566400,0.5859,0.051,0.882,0.067
2/25/2010,7.049286,7.245,7.031786,7.214286,6.123461,665126000,0.9648,0.034,0.866,0.1
2/26/2010,7.227857,7.3275,7.214286,7.307857,6.202883,507460800,0.7657,0.055,0.874,0.071
3/1/2010,7.348214,7.482143,7.3375,7.463929,6.335358,550093600,-0.3138,0.067,0.859,0.074
3/2/2010,7.4975,7.529643,7.419286,7.458929,6.331113,566546400,0.9016,0.04,0.882,0.078
3/3/2010,7.462143,7.495357,7.426429,7.476071,6.345665,372052800,0.7795,0.063,0.861,0.076
3/4/2010,7.474286,7.532857,7.451071,7.525357,6.387497,366041200,0.9196,0.05,0.872,0.078
3/5/2010,7.676429,7.846429,7.665357,7.819643,6.637286,899620400,0.9682,0.016,0.875,0.109
3/8/2010,7.8575,7.860357,7.794643,7.824286,6.641227,429889600,0.9877,0.014,0.855,0.131
3/9/2010,7.796786,8.035714,7.781786,7.965,6.760665,920259200,0.8925,0.056,0.844,0.1
3/10/2010,7.993929,8.052857,7.971429,8.03,6.815836,596218000,0.9184,0.031,0.891,0.078
3/11/2010,7.996786,8.053571,7.975714,8.053571,6.835843,405700400,0.9226,0.046,0.853,0.1
3/12/2010,8.120357,8.133214,8.0625,8.092857,6.86919,416323600,0.9721,0.033,0.858,0.109
3/15/2010,8.049286,8.053571,7.866071,7.994286,6.785522,493502800,-0.8979,0.095,0.857,0.049
3/16/2010,8.006429,8.035,7.946786,8.016071,6.804014,446908000,-0.7687,0.088,0.856,0.056
3/17/2010,8.032143,8.0875,7.973929,8.004286,6.794011,450956800,-0.8724,0.105,0.832,0.064
